23-06-2018 22:05,"b""No chance politics didn't play a part on the #Germany win today. Clearly a penalty and no #VAR. #FIFA didn't want a... https://t.co/LZNbpRwHf9"""
,
23-06-2018 22:04,"b'You gave up your right to say the ref is wrong when #VAR became a thing. You wanted it, you deal with the decisions... https://t.co/ctUcOACQw1'"
,
23-06-2018 22:04,b'VAR is only ever gonna work consistently if both teams get a number of challenges. Strange that it didnt review th... https://t.co/OalyzBJpej'
,
23-06-2018 22:01,"b'Having just watched the @BBCMOTD highlights of Sweden v Germany, having watched it in full on @ITV earlier, there a... https://t.co/mhV5zFTSFj'"
,
23-06-2018 22:00,"b'#var is gold for putin as no-one talks about doping, north korean workers, human rights...'"
,
23-06-2018 21:59,b'#VAR screwing the Scandinavian teams since 2018... #Ridiculous #Shittingonthelittleguy'
,
23-06-2018 21:58,"b'My view on #VAR at this World Cup is in general, it has worked well and has led to fairer games. BUT FIFA needs to... https://t.co/yICWjb9iPN'"
,
23-06-2018 21:58,b'The best thing about this #WorldCup is that #VAR has been shown up to be the #useless thing we all knew it is!!'
,
23-06-2018 21:57,b'@_omeara_r @MichaelRegan penalty! #VAR 2018 #WorldCupRussia2018'
,
23-06-2018 21:56,"b""Just seen the Germany v Sweden highlights. There's another #VAR fuckup! Definate pen for swe and should have been a red card too."""
,
23-06-2018 21:56,"b'#var did you know, that the polnish referee was a football player in german lower leagues some years ago?\n\nhow can... https://t.co/FUtI6hDi6Y'"
,
23-06-2018 21:56,b'If youre wondering why Sweden didnt get that PK today... #WorldCup #VAR https://t.co/cns7y8ZArd'
,
23-06-2018 21:56,b'#SWEGER @FIFAWorldCup why no #VAR'
,
23-06-2018 21:50,b'Video Assistant Referee FOR ALL OR NOTHING !!\n#worldcup\n#Var\n#cm2018\n#__2018 https://t.co/H0XloCPCAX'
,
23-06-2018 21:48,b'Still not a penalty. #WC2018 #VAR #England #ENG https://t.co/bzJQMVyV1c'
,
23-06-2018 21:48,"b'I think the plan at this #WorldCup2018 where #VAR is concerned, is to make it seem so ineffectual as to justify scr... https://t.co/5O29AkCLrB'"
,
23-06-2018 21:47,b'@VAROfficial1 Since #VAR fail to make refs give completely obvious penaltys (example from the last 24 hours: Serbia... https://t.co/Ij0nCBAnmo'
,
23-06-2018 21:47,b'No #VAR for the stonewall #SWE penalty? Is it just random when they fancy checking it? @FIFAWorldCup #WorldCup'
,
23-06-2018 21:44,"b'Penalty Yesterday, Penalty Tomorrow, But today, today it was a clean challenge... What a disgrace #GERSWE #VAR https://t.co/oJtQFugyJo'"
,
23-06-2018 21:44,b'The inconsistency of @FIFAcom referees at the #RussiaWorldCup2018 #FIFAWORLDCUP2018 is shocking. Its like the use o... https://t.co/u3CgiRBKp2'
,
23-06-2018 21:42,b'Also the Argentenian penalty appeal against Iceland is another case where it should have been used. The #VAR system... https://t.co/javiCjZL3W'
,
23-06-2018 21:40,"b""Looking at the #VAR complaints, and it's a warzone. The VAR for the World Cup has shown that it's only gonna be use... https://t.co/Nlkpf6TvtK"""
,
23-06-2018 21:39,b'Amazing if you are a #WorldCup winner then you are allowed to defend by fouling people in the box and #VAR and... https://t.co/bXl6joVvUF'
,
23-06-2018 21:39,"b""It might be all down to the ref. We don't really know 'rules of engagement' are for VAR. Maybe the ref has the powe... https://t.co/Ygs6JIKKYV"""
,
23-06-2018 21:31,"b""Although I'm currently a fan of #VAR, and I was supporting Switzerland, this was ridiculous, and have a lot of symp... https://t.co/CaRFTwJ7NN"""
,
23-06-2018 21:29,b'The #VAR (Video Assistant Referee) adopted by #FIFA has been proved to be no more than a tool to assist some counti... https://t.co/w385eaWqJy'
,
23-06-2018 21:29,b'@GaryLineker Failed to used it for #SWEGER was a blatant penalty from Boateng in the first half #VAR #WorldCup18'
,
23-06-2018 21:27,b'@BBCMOTD No hate for Germany but they should be sending brand new Mercedes Benz convertibles to the #VAR donuts who missed a BLATANT penalty'
,
23-06-2018 21:26,b'#VAR seems to be only used in favor of the pecieved top 1% nations\nSweden robbed\nAustralia robbed\nClear penalties /... https://t.co/zTbMLL7ZzC'
,
23-06-2018 21:26,b'WC of penalties.....\n14 already and still counting!!\n#VAR \n#Refs'
,
23-06-2018 21:21,"b'I uploaded a new episode, ""VAR - It\'s Time To Say Goodbye! | HSF Podcast #WorldCup2018"", on #spreaker #fifa... https://t.co/cSWU5Lm7tA'"
,
23-06-2018 21:18,b'@SkySportsNews They didnt miss that then #VAR'
,
